"","Team","...1","pass_yardage","total_pass_plays","total_run_plays","run_yardage","total_yardage","pct_run","total_plays","penalty_yards","points","wins","fumbles","Weight","Height_Inches","Mean_Speed"
"1","ARI",20,2037,227,220,1077,3114,0.492170022371365,447,-187,203,3,9,188.833333333333,70.5,2.729114
"2","ATL",2,1571,121,296,1521,3092,0.709832134292566,417,-181,217,4,5,208.5,74.75,2.885002
"3","BAL",17,1636,150,259,1446,3082,0.633251833740831,409,-159,235,6,4,202,71.5,2.790056
"4","BUF",1,2183,181,176,992,3175,0.492997198879552,357,-48,220,6,5,190.8,70.8,2.84963
"5","CAR",4,1645,145,195,980,2625,0.573529411764706,340,-139,179,2,3,203.6,75,2.85297
"6","CHI",6,1176,98,304,1760,2936,0.756218905472637,402,-137,187,3,3,202,74.25,2.728995
"7","CIN",8,2476,228,206,886,3362,0.474654377880184,434,-2,228,5,1,201.2,72.8,2.537575
"8","CLE",5,1806,154,261,1297,3103,0.628915662650602,415,-162,200,3,2,185.5,70.25,2.642228
"9","DAL",28,1510,134,214,1073,2583,0.614942528735632,348,-137,183,6,2,191.75,73,2.614117
"10","DEN",31,1785,153,203,865,2650,0.570224719101124,356,-225,121,3,5,190.25,72.25,2.918245
"11","DEN",31,1785,153,203,865,2650,0.570224719101124,356,-225,121,3,5,191.75,71.5,2.801597
"12","GB",25,2004,202,209,1071,3075,0.508515815085158,411,-147,154,3,6,210.6,74.4,2.763333
"13","HOU",12,1516,149,179,804,2320,0.545731707317073,328,-97,133,1,2,207.666666666667,73.3333333333333,2.65899
"14","IND",13,2245,228,206,807,3052,0.474654377880184,434,-128,132,3,5,203.6,72.5,2.568382
"15","JAX",19,1979,187,250,1349,3328,0.5720823798627,437,-102,199,3,3,200.333333333333,72.6666666666667,2.861303
"16","KC",21,2611,210,182,854,3465,0.464285714285714,392,-135,243,6,4,197,71.5,2.884197
"17","LA",0,1863,185,164,547,2410,0.469914040114613,349,-15,131,3,3,193.75,73.25,2.669542
"18","LAC",22,2065,212,174,719,2784,0.450777202072539,386,-135,184,5,4,215.25,74.5,2.370411
"19","LV",23,1901,174,169,927,2828,0.492711370262391,343,-299,183,2,5,216.75,75,2.495478
"20","MIA",14,2694,207,188,811,3505,0.475949367088608,395,-223,213,6,3,195.25,72.75,2.789246
"21","MIN",24,1938,190,175,784,2722,0.47945205479452,365,-42,193,7,1,198.75,71.75,2.783701
"22","NE",15,1945,181,234,1086,3031,0.563855421686747,415,-117,203,5,5,214,74,2.701804
"23","NO",3,2335,197,228,1178,3513,0.536470588235294,425,-202,212,3,6,209,75.75,2.705774
"24","NYG",27,1413,140,247,1294,2707,0.638242894056848,387,-125,163,6,2,196.75,72.25,2.909223
"25","NYJ",16,2033,183,218,1079,3112,0.543640897755611,401,-124,196,6,5,204.2,74,2.810239
"26","PHI",11,2005,165,260,1188,3193,0.611764705882353,425,-146,225,8,1,207.75,74.5,2.60083
"27","PIT",9,1801,192,176,744,2545,0.478260869565217,368,-274,120,2,3,191.75,72,2.622834
"28","SEA",30,1793,169,202,1151,2944,0.544474393530997,371,-209,241,6,4,194,73,3.042561
"29","SF",7,1987,156,211,997,2984,0.574931880108992,367,-171,176,4,7,185,72,2.526367
"30","TB",29,2496,252,172,553,3049,0.405660377358491,424,-190,162,4,3,185.4,71.4,2.513683
"31","TEN",26,1244,108,238,1176,2420,0.687861271676301,346,-165,149,5,1,199,73.75,3.086127
"32","WAS",18,1972,192,230,985,2957,0.545023696682464,422,-23,159,4,4,200.8,73.6,2.847126
